DEBUG:root:Episode 128  Average Score: 13.380   Current (avg) Score: 27.009
DEBUG:root:Episode 129  Average Score: 13.647   Current (avg) Score: 28.729
DEBUG:root:Episode 130  Average Score: 13.910   Current (avg) Score: 28.533
DEBUG:root:Episode 131  Average Score: 14.158   Current (avg) Score: 27.407
DEBUG:root:Episode 132  Average Score: 14.428   Current (avg) Score: 29.631
DEBUG:root:Episode 133  Average Score: 14.683   Current (avg) Score: 28.466
DEBUG:root:Episode 134  Average Score: 14.947   Current (avg) Score: 29.517
DEBUG:root:Episode 135  Average Score: 15.208   Current (avg) Score: 28.489
DEBUG:root:Episode 136  Average Score: 15.478   Current (avg) Score: 29.908
DEBUG:root:Episode 137  Average Score: 15.738   Current (avg) Score: 29.333
DEBUG:root:Episode 138  Average Score: 15.999   Current (avg) Score: 29.247
DEBUG:root:Episode 139  Average Score: 16.263   Current (avg) Score: 30.088
DEBUG:root:Episode 140  Average Score: 16.522   Current (avg) Score: 29.555
DEBUG:root:Episode 141  Average Score: 16.774   Current (avg) Score: 28.541
DEBUG:root:Episode 142  Average Score: 17.014   Current (avg) Score: 27.978
DEBUG:root:Episode 143  Average Score: 17.248   Current (avg) Score: 28.459
DEBUG:root:Episode 144  Average Score: 17.488   Current (avg) Score: 28.105
DEBUG:root:Episode 145  Average Score: 17.732   Current (avg) Score: 29.099
DEBUG:root:Episode 146  Average Score: 17.964   Current (avg) Score: 29.081
DEBUG:root:Episode 147  Average Score: 18.217   Current (avg) Score: 30.406
DEBUG:root:Episode 148  Average Score: 18.457   Current (avg) Score: 28.737
DEBUG:root:Episode 149  Average Score: 18.672   Current (avg) Score: 26.522                                    
DEBUG:root:Episode 150  Average Score: 18.909   Current (avg) Score: 28.807
DEBUG:root:Episode 151  Average Score: 19.141   Current (avg) Score: 28.078 
DEBUG:root:Episode 152  Average Score: 19.379   Current (avg) Score: 29.045                                    
DEBUG:root:Episode 153  Average Score: 19.612   Current (avg) Score: 29.030
DEBUG:root:Episode 154  Average Score: 19.844   Current (avg) Score: 29.730
DEBUG:root:Episode 155  Average Score: 20.087   Current (avg) Score: 30.111
DEBUG:root:Episode 156  Average Score: 20.306   Current (avg) Score: 28.895
DEBUG:root:Episode 157  Average Score: 20.541   Current (avg) Score: 29.828
DEBUG:root:Episode 158  Average Score: 20.764   Current (avg) Score: 28.563
DEBUG:root:Episode 159  Average Score: 20.968   Current (avg) Score: 28.116
DEBUG:root:Episode 160  Average Score: 21.198   Current (avg) Score: 29.913
DEBUG:root:Episode 161  Average Score: 21.411   Current (avg) Score: 30.138
DEBUG:root:Episode 162  Average Score: 21.623   Current (avg) Score: 29.614
DEBUG:root:Episode 163  Average Score: 21.824   Current (avg) Score: 28.860
DEBUG:root:Episode 164  Average Score: 22.048   Current (avg) Score: 29.976
DEBUG:root:Episode 165  Average Score: 22.252   Current (avg) Score: 28.566
DEBUG:root:Episode 166  Average Score: 22.464   Current (avg) Score: 29.581
DEBUG:root:Episode 167  Average Score: 22.669   Current (avg) Score: 29.773
DEBUG:root:Episode 168  Average Score: 22.866   Current (avg) Score: 29.190
DEBUG:root:Episode 169  Average Score: 23.050   Current (avg) Score: 28.297
DEBUG:root:Episode 170  Average Score: 23.239   Current (avg) Score: 29.084
DEBUG:root:Episode 171  Average Score: 23.413   Current (avg) Score: 29.199
DEBUG:root:Episode 172  Average Score: 23.596   Current (avg) Score: 28.387
DEBUG:root:Episode 173  Average Score: 23.772   Current (avg) Score: 28.806
DEBUG:root:Episode 174  Average Score: 23.944   Current (avg) Score: 28.059
DEBUG:root:Episode 175  Average Score: 24.132   Current (avg) Score: 28.611                                    
DEBUG:root:Episode 176  Average Score: 24.304   Current (avg) Score: 29.342
DEBUG:root:Episode 177  Average Score: 24.478   Current (avg) Score: 28.892 
DEBUG:root:Episode 178  Average Score: 24.632   Current (avg) Score: 28.585                                    
DEBUG:root:Episode 179  Average Score: 24.782   Current (avg) Score: 28.072
DEBUG:root:Episode 180  Average Score: 24.942   Current (avg) Score: 29.073
DEBUG:root:Episode 181  Average Score: 25.100   Current (avg) Score: 30.222
DEBUG:root:Episode 182  Average Score: 25.257   Current (avg) Score: 29.126
DEBUG:root:Episode 183  Average Score: 25.415   Current (avg) Score: 28.165
